1	619 718 735 894 937 946 1043 1080
2	57 353 366 415 439 469 520 522 546 589 619 620 661 709 882 892 894 961 975 991 1076 1110 1129 1193
3	131 285 346 358 415 439 468 520 522 546 589 619 661 709 718 882 888 892 894 946 961 991 1171 1193 1207
4	76 94 96 201 305 353 403 417 553 619 718 719 882 888 894 964 1076 1083
5	201 357 415 439 469 520 522 589 619 661 718 888 892 894 961 1064
6	30 76 116 159 201 305 318 353 396 546 619 638 663 709 718 840 882 888 894 926 934 946 1067 1102 1128
7	86 218 220 285 298 357 366 379 415 439 495 520 522 546 581 589 619 661 672 709 723 732 782 798 887 892 893 894 902 934 961 962 979 991 992 1021 1058 1060 1064 1096 1166 1186 1193
8	161 164 167 168 176 188 197 205 235 345 382 383 462 557 579 583 670 678 694 703 714 730 735 760 781 821 829 851 922 1071 1111 1161 1162 1168 1178 1180 1224
9	137 161 163 207 345 451 462 583 678 739 821 829 922 1080 1124 1148 1178 1180 1224
993186	34 161 163 168 188 233 234 235 274 286 335 345 382 557 583 678 714 742 760 761 821 824 886 925 941 970 1111 1121 1145 1159 1178 1180 1224
993300	44 161 163 234 235 345 382 411 464 557 583 678 714 742 760 761 821 941 970 1121 1145 1180 1224
993334	161 163 235 345 382 506 583 678 714 741 821 1180 1224
993336	48 122 161 163 176 195 235 239 273 299 345 382 506 557 583 660 670 678 714 738 794 821 890 908 1002 1082 1121 1159 1161 1164 1180 1218 1224
993386	38 49 55 72 110 113 154 161 163 207 234 267 345 366 370 380 411 423 438 462 565 583 630 633 660 678 679 778 791 794 816 821 828 875 951 967 995 1089 1091 1124 1136 1150 1167 1180 1196 1197 1224
993549	161 163 233 235 254 273 283 334 345 382 583 678 714 740 760 821 1121 1178 1180 1224
993707	161 647 1180 1224
993888	28 34 135 161 168 233 254 286 289 326 334 339 524 542 603 649 760 846 849 867 1040 1062 1174 1178 1180 1224
994043	34 135 161 163 168 233 254 286 289 334 339 524 542 714 760 849 934 1040 1062 1146 1178 1180 1182 1224
994694	34 163 167 334 345 425 557 583 609 677 678 714 760 794 819 821 1145 1178 1180 1224
994836	28 34 135 161 168 233 250 254 286 289 326 334 339 524 542 603 649 760 846 849 867 1040 1062 1174 1178 1180 1224
995144	161 163 234 345 405 441 563 609 647 678 714 743 760 783 792 794 821 925 1107 1121 1124 1178 1180 1223 1224
995311	188 286 299 345 405 430 506 563 603 604 609 619 630 642 647 678 743 760 774 792 794 821 1023 1111 1148 1174 1175 1180 1196 1224
995898	168 233 295 309 326 354 391 846 847 850 1021 1031 1032 1061 1139 1224
996453	34 106 202 233 234 252 273 281 286 334 344 425 470 472 583 614 708 737 760 815 819 846 939 941 1084 1177 1178 1180 1224
996827	137 161 162 163 207 345 382 383 451 462 670 678 714 821 829 922 1080 1124 1148 1178 1180 1224
997066	137 163 207 345 451 462 583 671 678 714 821 829 922 1080 1124 1148 1178 1180 1224
997196	137 161 162 163 207 345 382 383 451 462 670 678 714 821 829 922 1080 1124 1148 1178 1180 1224
997300	137 161 162 163 207 345 382 383 451 462 670 671 678 714 739 821 829 922 1080 1124 1148 1178 1180 1183 1224
997364	137 161 162 163 207 345 382 383 451 462 670 671 678 714 739 821 829 922 1080 1124 1148 1178 1180 1224
997430	188 189 328 341 345 390 585 809 821 853 862 889 932 1021 1111 1124 1180 1207 1224
997823	137 142 161 163 169 207 235 305 345 462 506 670 678 781 789 811 821 874 885 957 1071 1114 1124 1148 1150 1161 1162 1178 1180 1224
997853	137 161 162 163 207 345 382 383 451 462 670 678 714 821 829 922 1080 1124 1148 1178 1180 1181 1224
998745	137 161 163 235 324 345 366 411 563 578 678 731 821 967 1114 1161 1162 1178 1180 1224
999633	142 161 163 176 188 234 235 345 506 557 579 583 678 703 714 760 761 778 781 821 829 851 1022 1071 1111 1150 1161 1162 1168 1180 1224
993788	28 133 143 175 216 251 269 290 293 295 381 385 424 447 588 654 770 807 846 854 976 1003 1021 1077 1215 1224
994139	15 439 453 476 517 518 546 631 682 769 775 823 846 914 929 1021 1077 1215 1224
996805	91 133 214 307 380 425 427 594 629 635 669 714 794 823 846 941 1004 1048 1224
996945	133 266 380 425 846 917 978 1139 1224
997065	266 846 917 1139 1224
997349	48 133 191 215 216 262 266 307 310 380 386 425 525 526 562 669 725 810 812 813 823 846 859 860 967 1004 1046 1066 1121 1224
998869	47 330 394 514 752 783 950 1057 1062 1124 1216 1224
1000752	101 103 124 296 299 432 470 523 583 588 633 673 692 753 833 846 1047 1224
1000755	24 32 52 75 188 266 294 296 314 336 380 546 583 584 622 663 674 722 753 794 834 983 1005 1006 1014 1021 1111 1224
1000759	24 188 296 316 339 510 546 622 625 674 704 722 753 1014 1021 1103 1111 1221 1222 1224
989014	253 289 296 427 573 649 753 846 1021 1224
992614	118 124 143 296 304 425 426 432 475 479 553 676 753 833 846 848 953 970 1001 1037 1167 1186 1187 1224
992947	118 124 143 296 304 425 426 432 475 479 553 676 753 760 833 846 848 953 970 1001 1037 1167 1186 1187 1224
994993	120 269 296 309 546 648 753 846 922 1021 1033 1224
995403	296 406 447 513 622 641 753 760 1021 1036 1132 1224
996666	45 46 101 103 124 296 384 432 491 492 523 561 583 588 633 673 692 751 753 833 846 1038 1047 1224
996701	124 221 280 329 384 432 491 492 523 563 564 621 676 712 751 753 833 1037 1186 1224
996715	124 194 280 312 329 404 432 515 563 583 584 676 683 753 760 834 872 886 920 953 1037 1186 1224
996829	143 161 171 208 296 317 425 426 428 432 439 479 571 588 712 713 753 779 802 833 846 872 953 955 970 1001 1078 1176 1186 1190 1224
996957	27 120 238 289 296 308 336 339 618 622 648 674 753 846 977 1021 1037 1074 1224
